"Timer","P1_Health","P1_X","P1_Y","P1_MoveID","P2_Health","P2_X","P2_Y","P2_MoveID","P1_Buttons","P2_Buttons"
151,176,205,192,0,176,346,192,0,"{""Up"": false, ""Down"": false, ""Right"": false, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": false}","{""Up"": false, ""Down"": false, ""Right"": false, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": false}"
151,176,205,192,132101,176,346,192,0,"{""Up"": true, ""Down"": false, ""Right"": true, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": true}","{""Up"": false, ""Down"": false, ""Right"": false, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": false}"
151,176,205,192,132101,176,346,192,0,"{""Up"": true, ""Down"": false, ""Right"": true, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": true}","{""Up"": false, ""Down"": false, ""Right"": false, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": false}"
151,176,205,192,132101,176,346,192,0,"{""Up"": true, ""Down"": false, ""Right"": true, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": true}","{""Up"": false, ""Down"": false, ""Right"": false, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": false}"
151,176,205,192,132101,176,346,192,0,"{""Up"": true, ""Down"": false, ""Right"": true, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": true}","{""Up"": false, ""Down"": false, ""Right"": false, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": false}"
151,176,225,192,132101,176,349,192,0,"{""Up"": true, ""Down"": false, ""Right"": true, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": true}","{""Up"": false, ""Down"": false, ""Right"": false, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": false}"
151,176,205,192,132101,176,346,192,0,"{""Up"": true, ""Down"": false, ""Right"": true, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": true}","{""Up"": false, ""Down"": false, ""Right"": false, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": false}"
151,176,205,192,132101,176,346,192,0,"{""Up"": true, ""Down"": false, ""Right"": true, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": true}","{""Up"": false, ""Down"": false, ""Right"": false, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": false}"
151,176,205,192,132101,176,346,192,0,"{""Up"": true, ""Down"": false, ""Right"": true, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": true}","{""Up"": false, ""Down"": false, ""Right"": false, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": false}"
151,176,235,192,132101,176,349,192,0,"{""Up"": true, ""Down"": false, ""Right"": true, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": true}","{""Up"": false, ""Down"": false, ""Right"": false, ""Left"": false, ""Select"": false, ""Start"": false, ""Y"": false, ""B"": false, ""X"": false, ""A"": false, ""L"": false, ""R"": false}"
